P04637,O95352
P42345,P20071
P42345,P62942
P42345,Q6R327
P42345,P31749
P42345,Q15382
P42345,Q8N122
P42345,Q9BVC4
P42345,Q07817
P42345,Q8WUA4
P42345,Q9Y5Q8
P42345,Q9H063
P42345,O75385
P42345,Q9UK97
P20071,P36897
Q16514,P02304
Q16514,Q15544
Q16514,Q12962
Q16514,P01106
Q16514,O00268
Q16514,Q7Z7C8
Q16514,Q16594
P02304,Q16594
Q16594,P49848
Q16594,Q00403
Q16594,P61244
Q16594,Q92830
Q16594,P01106
Q16594,Q15542
Q16594,O00268
Q16594,Q7Z7C8
Q16594,Q12962
P21675,Q15545
P21675,Q12962
P21675,Q6P1X5
P21675,Q15542
P11277,P02549
P49848,Q12962
P49848,O00268
P49848,Q7Z7C8
Q00403,P08047
Q00403,P19388
Q00403,P35269
Q00403,P19387
P08047,Q13547
P08047,P62988
P08047,Q8N726
P08047,Q15545
P08047,P04198
P08047,Q14192
P08047,Q9UL17
Q15544,Q15543
Q15544,Q12962
Q15543,Q12962
Q12962,Q7Z7C8
Q12962,Q8WTS6
Q12962,Q15542
Q12962,Q15545
Q12962,Q5VWG9
Q12962,O00268
P06127,Q8NEB9
P06127,Q00839
P06127,P06239
Q8NEB9,Q6ZNE5
Q8NEB9,Q14457
Q8NEB9,Q9P2Y5
Q8NEB9,Q9Y371
Q00839,P19174
Q00839,P49450
P06239,P07900
P06239,P08575
P06239,P20963
P06239,P25445
P01112,Q13671
P01112,P15056
P01112,P30304
P01112,P30305
P01112,P45983
P01112,Q9NZL6
P01112,P10398
P01112,Q07889
P01112,Q8WWW0
P01112,Q12967
P01112,Q9Y613
P01112,Q15036
P01112,O43566
Q13671,P42684
P42684,Q03135
P42684,Q15642
P42768,P16333
P42768,P60953
P42768,O43516
P42768,Q9Y5X1
P16333,O43516
P16333,O00401
P16333,P48023
P16333,O60942
P29317,P20827
P29317,P35222
P29317,P52803
P29317,O15357
P20827,P54764
P20827,O15357
Q13158,P25445
Q13158,O15519
Q13158,Q14790
Q13158,P48023
Q13158,P50591
P25445,Q13546
P25445,Q9UER7
P25445,Q14790
P25445,P12931
P25445,P07947
P25445,P48023
P25445,P19174
P25445,Q9GZQ8
P25445,Q03135
P00533,Q13596
P00533,P62993
P00533,P29353
P00533,P01133
P00533,P01135
P00533,P04626
P00533,P21860
P00533,Q03135
P00533,P62988
P00533,Q13191
P00533,Q9UJM3
P00533,Q6NZI2
P00533,P51149
P00533,P15514
P00533,P35070
P00533,O14964
P00533,Q9UKV8
P00533,Q96FE5
P00533,Q15109
P00533,Q07889
P00533,P14174
P00533,P08581
P00533,Q14956
Q13596,Q9UNH7
Q13546,Q14790
Q13546,P01375
Q13546,P62988
Q13546,Q9BX69
P14778,P51617
P14778,P09619
P51617,Q9HAT8
P51617,Q8N2H9
P51617,Q99836
P51617,Q96FA3
P51617,Q9NYJ8
P27797,P13747
P27797,P11166
P27797,P02675
P13747,Q03519
P13747,P61769
P09661,Q12874
P09661,Q9ULR0
P09661,Q9HCS7
Q12874,Q15459
P05783,P05787
P05783,P15924
