Accession(1),Accession(2)
P01112,O43566
P00533,Q07889
P15884,P35222
P29317,P35222
P12931,P35222
P12830,P35222
P35221,P35222
P35222,Q9Y3M2
P35222,Q9Y265
P35222,P49789
P35222,Q9UJU2
P35222,Q9NQB0
P35222,P25054
P35222,P10275
P35222,O15169
P35222,Q9Y297
P35222,P19022
P35222,Q01826
P35222,P35869
P35222,Q16531
P35222,P55197
P35222,Q8TEK3
P35222,O00482
P35222,O14746
P35222,P14618
P35222,Q9Y2T1
P35222,Q96EB6
P35222,P51532
P35222,P62988
P35222,P49757
P35222,P26232
P35222,Q13625
P41182,P63208
Q13616,Q9Y297
Q15653,P63208
O00221,P63208
Q9UKB1,P63208
Q969H0,P63208
P53350,Q9Y297
O95999,Q9Y297
O14965,Q9Y297
P63208,Q8N3Y1
P63208,Q969U6
P63208,Q9UKT8
P63208,Q9Y297
P63208,Q9Y3I1
P63208,Q86XK2
P63208,Q13309
P63208,Q6PJ61
P63208,Q13503
P63208,Q9UKT7
P63208,P41002
P63208,Q9UK99
P63208,Q9UK97
P63208,Q9NVF7
P63208,P57775
P63208,Q5XUX0
P63208,Q76N32
Q9Y297,Q13127
Q9Y297,P49757
Q9Y297,Q76N32
Q9Y297,O00444
P23458,P40189
P40189,P29597
P40189,P05231
P40189,P20809
P40189,P13725
P05231,P08887
P05231,P13725
O00429,P43357
Q13616,Q15843
P62837,Q15843
Q15843,P61081
Q15843,O94888
P01008,P00740
Q07666,P25054
P25054,Q9NR80
P25054,Q14114
P25054,Q9UNN8
Q92793,Q14653
P38117,P13804
P62877,P61081
P61081,Q8IWE4
P61081,Q96GG9
P61081,Q6PH85
P41182,Q13616
P62877,Q13616
P62877,Q86XK2
P62877,Q13309
P62877,Q969U6
P62877,P49427
P62877,Q13618
P62877,Q16531
P62877,Q92466
Q13616,Q15653
Q13616,O00221
Q13616,Q9UKB1
Q13616,Q969U6
Q13616,Q86VP6
Q13616,Q86XK2
Q13616,O75586
Q13616,O94888
Q13616,Q8N3Y1
Q13616,P41002
Q13616,Q13309
Q13616,Q5XUX0
Q13616,P62988
Q13616,Q96GG9
Q13616,Q8IWE4
Q13616,Q6PH85
Q13616,Q76N32
P37198,Q86VP6
Q86VP6,Q13620
O00429,P43355
Q8WZ42,O15273
Q8WZ42,Q5VST9
Q8WZ42,O75147
P19793,P10276
P19793,Q07869
P19793,P11473
P19793,Q15596
P19793,P60763
P19793,P37231
P19793,P55055
P10276,Q15788
Q15788,Q96RI1
Q15788,O00482
P01233,P01215
P63279,P63165
Q06609,P63165
P38398,P63165
P63165,P46060
P63165,Q9P0U3
P63165,Q9HC62
P63165,P29590
P63165,P19419
P63165,Q02078
P63165,P10914
P63165,Q00613
P63165,Q9UBT2
P63165,Q13263
P63165,Q12873
P63165,O00180
P63165,O75030
P63165,P26367
P63165,P22460
P63165,P06748
Q9UBT2,Q9UBE0
P00751,P01024
P01024,P08603
P06493,P61024
P24385,P61024
P61024,Q00526
Q03164,Q13309
Q13309,Q9UMW8
Q14209,Q14186
Q14186,Q15329
Q14186,O00716
Q14186,Q16254
Q14186,P41229
P06493,Q99741
P01106,Q99741
Q99741,P53350
P27797,P13747
P27797,P11166
P09874,P68431
Q13114,P61964
P78527,P68431
P12956,P68431
Q9Y4K3,P61964
Q9UER7,P68431
Q9Y294,P68431
Q9NVP2,P68431
Q13112,P68431
P25205,P68431
P49736,P68431
P13010,P68431
Q7Z434,P61964
O60341,P68431
P62805,P68431
P06748,P68431
O95931,P68431
Q9HC52,P68431
P61964,Q15291
P61964,Q14686
P61964,P37231
P61964,Q03164
P61964,O43823
P61964,Q9UMN6
P61964,Q9C005
P61964,Q8WXX7
P68431,Q13111
P68431,Q14781
P68431,O00257
P68431,O95503
P68431,Q09028
P68431,O14929
P68431,Q16576
P68431,P49321
P68431,P05771
P68431,Q9UGL1
Q13315,P16104
P45983,P16104
P62988,P16104
Q99708,P16104
Q14676,P16104
P16104,P49959
P16104,Q86WJ1
P16104,Q92878
P16104,Q9UIG0
P16104,P13693
P16104,Q99504
P16104,Q8WX80
P16104,O00213
Q8N423,P17693
P01344,P08833
O75581,P22692
P05019,P22692
P05019,P08833
P08069,P05019
P05019,P24593
P05019,P17936
Q86XS5,Q8N423
Q8N423,Q9UKU9
Q8N423,P30504
Q13315,P46531
P62988,P46531
